id,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
397,3,1,0,0,4,2,1,2,2,2,1,6,1,0,0,1,7.78,5.33,221.4,0.01,12,0.19,12.3,41.51,0.5,1,2,6,1,4,8,3,8,2,0,0,N
398,7,2,12,0,12,4,0.27,6,2,3,0.75,15,1,0,3,2,10.48,27.19,7748.01,0.09,63,0.04,430.45,284.98,0.25,3,6,13,0.24,29,34,8,15,17,80,15,N
399,7,3,12,0,12,4,0.27,6,2,3,0.75,16,1,0,3,2,13.08,24.8,8043.39,0.11,69,0.04,446.86,324.33,0.25,3,6,14,0.24,31,38,10,16,17,80,15,N
400,3,2,4,0,4,2,0.4,2,2,2,1,7,1,0,1,1,12.33,4.8,284.19,0.02,16,0.21,15.79,59.21,0.5,1,2,7,0.29,6,10,5,8,7,80,5,N
401,3,2,4,0,4,2,0.4,2,2,2,1,7,1,0,1,2,13.87,4.67,302.05,0.02,17,0.21,16.78,64.73,0.5,1,2,7,0.29,7,10,6,8,7,80,5,N
402,3,2,2,0,4,2,0.67,2,2,2,1,8,1,0,1,0,6.16,10.67,701.11,0.02,19,0.09,38.95,65.73,0.5,1,2,8,0.4,8,11,3,8,5,66.67,3,N
403,3,2,4,0,4,2,0.4,2,2,2,1,7,1,0,1,1,12.33,4.8,284.19,0.02,16,0.21,15.79,59.21,0.5,1,2,7,0.29,6,10,5,8,7,80,5,N
404,3,2,4,0,4,2,0.4,2,2,2,1,7,1,0,1,2,13.87,4.67,302.05,0.02,17,0.21,16.78,64.73,0.5,1,2,7,0.29,7,10,6,8,7,80,5,N
405,3,2,2,0,4,2,0.67,2,2,2,1,8,1,0,1,0,6.16,10.67,701.11,0.02,19,0.09,38.95,65.73,0.5,1,2,8,0.4,8,11,3,8,5,66.67,3,N
406,5,3,4,0,6,3,0.6,2,3,3,1,10,3,1,1,2,15.9,5.79,532.29,0.03,23,0.17,29.57,92,1,2,3,9,0.43,9,14,7,9,7,80,5,N
407,5,3,4,0,6,3,0.6,2,3,3,1,10,3,1,1,3,17.44,5.63,551.81,0.03,24,0.18,30.66,98.1,1,2,3,9,0.38,10,14,8,9,8,80,5,N
408,5,4,3,0,8,3,0.75,4,2,3,1,16,1,0,1,0,13.46,9.33,1172.67,0.04,33,0.11,65.15,125.64,0.33,2,4,15,0.5,14,19,6,8,6,75,4,N
409,3,2,4,0,4,2,0.4,2,2,2,1,7,1,0,1,1,12.33,4.8,284.19,0.02,16,0.21,15.79,59.21,0.5,1,2,7,0.29,6,10,5,8,7,80,5,N
410,3,2,4,0,4,2,0.4,2,2,2,1,7,1,0,1,2,13.87,4.67,302.05,0.02,17,0.21,16.78,64.73,0.5,1,2,7,0.29,7,10,6,8,7,80,5,N
411,3,2,2,0,4,2,0.67,2,2,2,1,8,1,0,1,0,6.16,10.67,701.11,0.02,19,0.09,38.95,65.73,0.5,1,2,8,0.4,8,11,3,8,5,66.67,3,N
412,3,2,4,0,4,2,0.4,2,2,2,1,7,1,0,1,1,12.33,4.8,284.19,0.02,16,0.21,15.79,59.21,0.5,1,2,7,0.29,6,10,5,8,7,80,5,N
413,3,2,4,0,4,2,0.4,2,2,2,1,7,1,0,1,2,13.87,4.67,302.05,0.02,17,0.21,16.78,64.73,0.5,1,2,7,0.29,7,10,6,8,7,80,5,N
414,3,2,2,0,4,2,0.67,2,2,2,1,8,1,0,1,0,6.16,10.67,701.11,0.02,19,0.09,38.95,65.73,0.5,1,2,8,0.4,8,11,3,8,5,66.67,3,N
415,3,2,4,0,4,2,0.4,2,2,2,1,7,1,0,1,1,12.33,4.8,284.19,0.02,16,0.21,15.79,59.21,0.5,1,2,7,0.29,6,10,5,8,7,80,5,N
416,3,2,4,0,4,2,0.4,2,2,2,1,7,1,0,1,2,13.87,4.67,302.05,0.02,17,0.21,16.78,64.73,0.5,1,2,7,0.29,7,10,6,8,7,80,5,N
417,3,2,2,0,4,2,0.67,2,2,2,1,8,1,0,1,0,6.16,10.67,701.11,0.02,19,0.09,38.95,65.73,0.5,1,2,8,0.4,8,11,3,8,5,66.67,3,N
418,1,1,1,0,4,1,0.5,2,2,1,1,2,1,0,1,0,6.55,3,58.95,0.01,7,0.33,3.28,19.65,1,1,2,3,0.25,1,6,1,6,4,50,2,N
419,12,9,18,2,12,8,0.4,6,2,7,0.88,28,5,0,2,1,27.79,11.33,3570,0.11,63,0.09,198.33,315,0.63,3,6,22,0.33,20,43,15,17,24,90.91,20,N
420,3,0,1,0,4,2,1,2,2,1,0.5,5,1,0,1,0,5.99,3.75,84.22,0.01,8,0.27,4.68,22.46,0.5,1,2,5,0.5,3,5,2,5,4,50,2,N
421,5,3,4,0,8,3,0.6,4,2,3,1,15,1,0,1,1,10.03,17.33,3014.58,0.06,39,0.06,167.48,173.92,0.33,2,4,14,0.43,13,26,6,16,7,80,5,N
422,3,3,6,0,4,2,0.25,2,2,2,1,7,1,0,2,1,16.65,4.67,362.64,0.03,21,0.21,20.15,77.71,0.5,1,2,7,0.2,8,13,6,7,10,75,8,N
423,3,3,7,0,4,2,0.22,2,2,2,1,8,1,0,2,1,19.99,4,319.82,0.03,21,0.25,17.77,79.95,0.5,1,2,8,0.18,8,13,7,7,11,77.78,9,N
424,7,3,13,1,12,4,0.27,6,2,3,0.75,20,1,0,2,1,11.84,26.39,8245.95,0.1,65,0.04,458.11,312.48,0.25,3,6,18,0.22,25,40,9,19,18,87.5,15,N
425,11,8,20,5,20,6,0.25,10,2,5,0.83,34,1,0,4,1,20.14,22.1,9834.5,0.15,89,0.05,546.36,445,0.17,5,10,30,0.19,39,50,15,17,31,86.21,24,N
426,3,2,6,1,4,2,0.22,2,2,1,0.5,7,1,0,3,2,11.06,11.14,1372.69,0.04,29,0.09,76.26,123.19,0.5,1,2,7,0.17,13,16,7,12,12,70,9,N
427,5,4,8,1,8,3,0.27,4,2,3,1,14,1,0,3,3,13.21,17.1,3863.67,0.08,47,0.06,214.65,225.95,0.33,2,4,13,0.2,19,28,10,18,15,75,11,N
428,5,5,8,1,8,3,0.27,4,2,3,1,15,1,0,3,3,14.42,17.18,4256.92,0.08,51,0.06,236.5,247.76,0.33,2,4,14,0.2,21,30,11,18,15,75,11,N
429,5,4,9,1,8,3,0.25,4,2,3,1,16,1,0,3,1,13.36,17.94,4301.69,0.08,51,0.06,238.98,239.72,0.33,2,4,15,0.2,19,32,9,17,15,76.92,12,N
430,3,0,0,0,4,2,1,2,2,1,0.5,5,1,0,0,0,5.99,3.75,84.22,0.01,8,0.27,4.68,22.46,0.5,1,2,5,1,3,5,2,5,2,0,0,N
431,5,2,4,0,6,3,0.6,2,3,3,1,10,3,1,1,2,15.9,5.79,532.29,0.03,23,0.17,29.57,92,1,2,3,9,0.38,9,14,7,9,8,80,5,N
432,5,2,5,0,6,3,0.43,2,3,3,1,10,3,1,2,2,16.59,5.79,555.43,0.03,24,0.17,30.86,96,1,2,3,9,0.3,9,15,7,9,10,71.43,7,N
433,9,4,16,1,16,5,0.28,8,2,4,0.8,29,1,0,2,1,13.97,34.36,16494.55,0.16,96,0.03,916.36,480,0.2,4,8,26,0.24,36,60,11,21,21,89.47,18,N
434,7,4,9,1,12,4,0.33,6,2,4,1,20,1,0,3,4,18.47,17,5338.7,0.1,64,0.06,296.59,314.04,0.25,3,6,18,0.25,26,38,13,17,16,76.92,12,N
435,13,4,15,1,24,7,0.41,12,2,7,1,37,1,0,2,6,20.11,31.88,20434.13,0.21,124,0.03,1135.23,641.07,0.14,6,12,32,0.32,51,73,16,20,22,88.89,17,N
436,7,4,9,1,12,4,0.33,6,2,4,1,20,1,0,3,5,18.18,17,5255.28,0.1,63,0.06,291.96,309.13,0.25,3,6,18,0.24,26,37,13,17,17,76.92,12,N
437,7,5,10,1,12,4,0.31,6,2,4,1,25,1,0,3,1,14.36,24.56,8656.64,0.12,75,0.04,480.92,352.53,0.25,3,6,23,0.25,26,49,9,17,16,78.57,13,N
438,3,0,1,0,4,2,1,2,2,1,0.5,5,1,0,1,0,5.99,3.75,84.22,0.01,8,0.27,4.68,22.46,0.5,1,2,5,0.5,3,5,2,5,4,50,2,N
439,7,4,6,0,12,4,0.57,6,2,4,1,22,1,0,1,1,12.38,20,4951.76,0.08,54,0.05,275.1,247.59,0.25,3,6,20,0.44,24,30,9,15,9,85.71,7,N
440,7,4,8,0,12,4,0.4,6,2,4,1,18,1,0,2,0,14.11,15.17,3246.47,0.07,48,0.07,180.36,214.05,0.25,3,6,16,0.33,21,27,9,13,12,80,10,N
441,5,2,3,0,8,3,0.75,4,2,2,0.67,11,3,1,1,1,9.79,9.6,902.51,0.03,23,0.1,50.14,94.01,1,2,4,10,0.5,8,15,5,12,6,75,4,N
442,3,2,4,0,4,2,0.4,2,2,2,1,7,1,0,1,1,13.66,4.2,240.91,0.02,16,0.24,13.38,57.36,0.5,1,2,7,0.29,6,10,5,7,7,80,5,N
443,3,2,4,0,4,2,0.4,2,2,2,1,7,1,0,1,1,13.66,4.2,240.91,0.02,16,0.24,13.38,57.36,0.5,1,2,7,0.29,6,10,5,7,7,80,5,N
444,7,3,14,1,12,4,0.25,6,2,3,0.75,21,1,0,2,1,11.91,27.44,8971.59,0.11,68,0.04,498.42,326.9,0.25,3,6,19,0.21,26,42,9,19,19,88.24,16,N
445,5,3,6,0,8,3,0.43,4,2,3,1,15,1,0,1,1,13.75,16,3521.25,0.07,48,0.06,195.63,220.08,0.33,2,4,14,0.33,16,32,8,16,9,85.71,7,N
446,3,2,5,0,4,2,0.29,2,2,2,1,7,1,0,2,0,13.02,7.5,732.54,0.03,25,0.13,40.7,97.67,0.5,1,2,7,0.22,10,15,6,9,9,71.43,7,N
447,11,7,20,5,20,6,0.25,10,2,5,0.83,33,1,0,4,1,17.24,24.19,10090.27,0.14,85,0.04,560.57,417.09,0.17,5,10,29,0.19,37,48,13,17,31,86.21,24,N
448,5,3,8,1,8,3,0.27,4,2,3,1,13,1,0,3,2,8.83,23.14,4728.77,0.07,44,0.04,262.71,204.33,0.33,2,4,12,0.21,18,26,7,18,14,75,11,N
449,5,3,9,1,8,3,0.25,4,2,3,1,15,1,0,3,1,10.22,20.64,4353.75,0.07,46,0.05,241.87,210.91,0.33,2,4,14,0.2,17,29,7,17,15,76.92,12,N
450,3,1,4,5,4,2,0.4,2,2,1,0.5,7,1,0,1,1,11.86,4.38,227.03,0.02,15,0.23,12.61,51.89,0.5,1,2,7,0.17,5,10,4,7,12,90,5,N
451,7,4,21,48,4,5,0.21,2,2,5,1,16,1,0,3,0,26.15,12.5,4086.25,0.11,68,0.08,227.01,326.9,0.2,1,2,13,0.07,25,43,14,14,74,95.83,24,N
452,17,5,36,16,20,11,0.26,10,2,10,0.91,34,1,0,6,1,28.41,29.76,25170.95,0.28,160,0.03,1398.39,845.66,0.09,5,10,25,0.18,46,114,17,22,60,89.66,42,N
453,78,24,155,65,104,51,0.32,52,2,48,0.94,156,1,0,5,1,56.51,82.88,388174.15,1.56,699,0.01,21565.23,4683.61,0.02,26,52,107,0.22,209,490,58,46,227,97.78,160,N
454,11,5,26,44,12,7,0.22,6,2,6,0.86,26,1,0,6,1,25.22,17.4,7636.2,0.15,87,0.06,424.23,438.86,0.14,3,6,21,0.09,29,58,15,18,78,92.11,32,N
455,3,0,5,4,4,2,0.29,2,2,1,0.5,6,1,0,2,0,8.52,12,1226.24,0.03,25,0.08,68.12,102.19,0.5,1,2,6,0.15,10,15,5,12,13,81.82,7,N
456,3,1,4,2,4,2,0.4,2,2,1,0.5,7,1,0,1,0,13.44,4,215.1,0.02,15,0.25,11.95,53.77,0.5,1,2,7,0.22,4,11,4,8,9,85.71,5,N
457,3,8,17,31,4,2,0.1,2,2,2,1,17,1,0,3,0,64.18,9.71,6045.7,0.21,131,0.1,335.87,622.89,0.5,1,2,17,0.04,33,98,17,10,53,94.12,20,N
458,3,2,3,7,4,2,0.5,2,2,2,1,6,1,0,1,0,13.11,4.8,301.96,0.02,17,0.21,16.78,62.91,0.5,1,2,6,0.15,6,11,5,8,13,90.91,4,N
459,3,1,7,26,4,2,0.22,2,2,1,0.5,7,1,0,2,0,22.53,16.25,5949.55,0.12,77,0.06,330.53,366.13,0.5,1,2,7,0.05,35,42,14,13,37,94.29,9,N
460,3,3,5,19,4,2,0.29,2,2,2,1,7,1,0,2,0,19.64,5.5,594,0.04,27,0.18,33,108,0.5,1,2,7,0.07,11,16,8,8,28,92.31,7,N
461,3,1,4,6,4,2,0.33,2,2,2,1,5,1,0,2,0,12.4,3.75,174.4,0.02,14,0.27,9.69,46.51,0.5,1,2,5,0.14,5,9,4,6,14,83.33,6,N
462,3,1,4,6,4,2,0.33,2,2,2,1,5,1,0,2,0,12.4,3.75,174.4,0.02,14,0.27,9.69,46.51,0.5,1,2,5,0.14,5,9,4,6,14,83.33,6,N
463,5,0,7,25,8,3,0.27,4,2,1,0.33,10,1,0,4,1,16,9,1296,0.05,36,0.11,72,144,0.33,2,4,9,0.08,14,22,7,9,38,88.89,11,N
464,7,9,13,55,12,4,0.24,6,2,4,1,20,1,0,4,1,42,5.6,1317.26,0.08,52,0.18,73.18,235.23,0.25,3,6,18,0.05,21,31,15,8,74,94.44,17,N
465,5,3,23,56,8,3,0.11,4,2,3,1,15,1,0,5,1,29.77,19.12,10881.75,0.19,116,0.05,604.54,569.2,0.33,2,4,14,0.03,50,66,17,13,86,94.05,28,N
466,3,2,9,16,4,2,0.18,2,2,1,0.5,8,1,0,2,2,24.04,10.4,2599.82,0.08,52,0.1,144.43,249.98,0.5,1,2,8,0.07,24,28,15,13,29,92.59,11,N
467,3,0,3,6,4,2,0.4,2,2,1,0.5,6,1,0,2,0,10,9.9,980.01,0.03,26,0.1,54.45,98.99,0.5,1,2,6,0.15,11,15,5,9,13,81.82,5,N
468,3,4,16,40,4,2,0.12,2,2,1,0.5,10,1,0,1,0,26.21,22.13,12827.76,0.19,132,0.05,712.65,579.79,0.5,1,2,10,0.03,59,73,12,9,59,98.25,17,N
469,3,1,4,7,4,2,0.33,2,2,2,1,5,1,0,2,0,12.4,3.75,174.4,0.02,14,0.27,9.69,46.51,0.5,1,2,5,0.13,5,9,4,6,15,84.62,6,N
470,3,0,5,18,4,2,0.29,2,2,1,0.5,7,1,0,2,1,16.75,7.5,942.32,0.04,33,0.13,52.35,125.64,0.5,1,2,7,0.07,15,18,7,7,27,92,7,N
471,9,2,17,38,16,5,0.21,8,2,3,0.6,21,1,0,7,3,17.27,20.42,7197.55,0.12,75,0.05,399.86,352.53,0.2,4,8,18,0.08,35,40,12,14,64,88.71,24,N
472,7,1,5,12,12,4,0.67,6,2,1,0.25,14,1,0,1,2,10.68,15,2402.74,0.05,41,0.07,133.49,160.18,0.25,3,6,12,0.2,15,26,5,10,20,94.44,6,N
473,5,0,9,4,8,3,0.3,4,2,1,0.33,10,1,0,1,1,8.15,11,985.86,0.03,25,0.09,54.77,89.62,0.33,2,4,9,0.19,11,14,4,8,16,92.86,10,N
474,5,2,6,4,6,3,0.43,2,3,2,0.67,10,3,1,1,0,13.22,5.6,414.45,0.02,20,0.18,23.02,74.01,1,2,3,9,0.23,7,13,5,8,13,90.91,7,N
475,5,0,8,27,8,3,0.27,4,2,1,0.33,9,1,0,3,0,9.03,18.67,3146.36,0.06,39,0.05,174.8,168.56,0.33,2,4,8,0.08,16,23,6,14,40,92.11,11,N
476,5,0,7,6,8,3,0.3,4,2,1,0.33,9,3,1,3,1,12.38,9.43,1100.86,0.04,28,0.11,61.16,116.76,1,2,4,8,0.17,12,16,7,11,18,81.25,10,N
477,20,8,44,91,24,12,0.24,12,2,9,0.75,44,1,0,6,0,35.3,23.76,19928.53,0.28,151,0.04,1107.14,838.74,0.08,6,12,34,0.08,54,97,25,22,143,95.74,50,N
478,7,1,7,7,12,4,0.36,6,2,1,0.25,13,1,0,4,1,14.31,13.81,2730.1,0.07,45,0.07,151.67,197.65,0.25,3,6,11,0.2,17,28,8,13,20,77.78,11,N
479,3,3,10,40,4,2,0.17,2,2,2,1,8,1,0,2,1,33.1,7.86,2043.3,0.09,56,0.13,113.52,260.06,0.5,1,2,8,0.04,20,36,14,11,54,96.15,12,N
480,7,3,18,40,4,5,0.24,2,2,5,1,15,1,0,3,0,24.19,12.38,3709.91,0.1,63,0.08,206.11,299.56,0.2,1,2,12,0.08,23,40,13,14,63,95.08,21,N
481,11,5,16,57,20,6,0.25,10,2,5,0.83,23,1,0,8,0,36.62,7.08,1833.96,0.09,59,0.14,101.89,259.14,0.17,5,10,19,0.07,23,36,13,8,83,90.12,24,N
482,11,1,16,26,20,6,0.29,10,2,2,0.33,23,6,1,5,1,20.52,18,6647.55,0.12,72,0.06,369.31,369.31,1,5,10,19,0.12,27,45,15,20,49,89.36,21,N
483,3,1,4,21,4,2,0.33,2,2,1,0.5,7,1,0,2,0,14.23,9.38,1250.98,0.04,32,0.11,69.5,133.44,0.5,1,2,7,0.07,15,17,8,10,29,92.59,6,N
484,3,0,3,8,4,2,0.4,2,2,1,0.5,6,1,0,2,0,10.98,11.92,1558.69,0.04,32,0.08,86.59,130.8,0.5,1,2,6,0.13,13,19,6,11,15,84.62,5,N
485,5,5,14,20,8,3,0.17,4,2,3,1,14,1,0,4,1,23.56,9.73,2230.76,0.08,50,0.1,123.93,229.25,0.33,2,4,13,0.08,23,27,13,11,40,89.47,18,N
486,7,0,13,29,12,4,0.24,6,2,1,0.25,15,1,0,4,2,15.61,26,10551.02,0.14,91,0.04,586.17,405.81,0.25,3,6,13,0.08,36,55,9,13,48,91.3,17,N
487,5,2,7,8,8,3,0.3,4,2,3,1,9,1,0,3,0,19.12,4.5,387.18,0.03,24,0.22,21.51,86.04,0.33,2,4,8,0.15,9,15,6,6,20,83.33,10,N
488,3,1,4,7,4,2,0.33,2,2,2,1,5,1,0,2,0,12.4,3.75,174.4,0.02,14,0.27,9.69,46.51,0.5,1,2,5,0.13,5,9,4,6,15,84.62,6,N
489,3,2,4,7,4,2,0.4,2,2,2,1,6,1,0,1,1,12.8,4.2,225.85,0.02,15,0.24,12.55,53.77,0.5,1,2,6,0.14,6,9,5,7,14,91.67,5,N
490,9,2,17,21,16,5,0.24,8,2,2,0.4,20,1,0,4,1,16.75,20.67,7153.34,0.12,72,0.05,397.41,346.13,0.2,4,8,17,0.11,31,41,12,16,44,90.48,21,N
491,3,2,4,9,4,2,0.33,2,2,2,1,8,1,0,2,0,14.24,6.86,669.75,0.03,25,0.15,37.21,97.67,0.5,1,2,8,0.12,12,13,7,8,17,86.67,6,N
492,13,1,13,19,14,7,0.47,2,7,2,0.29,15,1,0,2,1,14.84,22.22,7326.97,0.11,71,0.05,407.05,329.71,0.14,6,7,10,0.19,25,46,9,16,36,94.12,15,N
493,5,0,8,25,8,3,0.25,4,2,1,0.33,10,1,0,4,1,18.17,9,1471.49,0.05,40,0.11,81.75,163.5,0.33,2,4,9,0.08,16,24,8,9,39,89.19,12,N
494,5,2,11,23,8,3,0.21,4,2,2,0.67,12,1,0,3,1,16.64,8.94,1328.8,0.05,35,0.11,73.82,148.68,0.33,2,4,11,0.08,13,22,8,11,39,91.89,14,N
495,7,3,18,40,4,5,0.24,2,2,5,1,15,1,0,3,0,24.19,12.38,3709.91,0.1,63,0.08,206.11,299.56,0.2,1,2,12,0.08,23,40,13,14,63,95.08,21,N
496,12,3,29,19,4,10,0.32,2,2,9,0.9,24,1,0,2,1,35.76,13.5,6517.93,0.16,92,0.07,362.11,482.81,0.1,1,2,16,0.19,30,62,20,18,53,96,31,N
497,5,1,7,26,6,3,0.3,2,3,1,0.33,9,3,1,3,2,20.04,7.33,1077.6,0.05,34,0.14,59.87,146.95,1,2,3,8,0.08,12,22,9,11,39,91.67,10,N
498,13,1,19,36,24,7,0.29,12,2,2,0.29,27,7,1,5,1,22.47,19.15,8239.54,0.14,82,0.05,457.75,430.33,1,6,12,22,0.11,31,51,17,21,63,91.67,24,N
499,3,1,4,12,4,2,0.33,2,2,1,0.5,7,1,0,2,0,14.3,6.29,564.82,0.03,23,0.16,31.38,89.86,0.5,1,2,7,0.1,11,12,7,8,20,88.89,6,N
500,3,1,4,10,4,2,0.4,2,2,1,0.5,7,1,0,1,0,13.1,6.86,616.17,0.03,23,0.15,34.23,89.86,0.5,1,2,7,0.12,12,11,7,8,17,93.33,5,N
501,3,1,6,24,4,2,0.25,2,2,2,1,8,1,0,2,0,18.73,15,4214.16,0.09,63,0.07,234.12,280.94,0.5,1,2,8,0.06,30,33,11,11,34,93.75,8,N
502,7,4,13,26,12,4,0.24,6,2,3,0.75,16,1,0,4,0,19.64,16.14,5125.38,0.11,66,0.06,284.74,317.29,0.25,3,6,14,0.09,28,38,13,15,45,90.7,17,N
503,3,0,26,17,4,2,0.07,2,2,1,0.5,7,1,0,2,0,23.26,51,60496.65,0.4,266,0.02,3360.92,1186.21,0.5,1,2,7,0.04,102,164,11,11,47,95.56,28,N
504,3,1,12,35,4,2,0.14,2,2,2,1,8,1,0,2,0,15.99,30.55,14925.04,0.16,108,0.03,829.17,488.54,0.5,1,2,8,0.04,47,61,10,13,51,95.92,14,N
505,3,1,4,8,4,2,0.33,2,2,1,0.5,7,1,0,2,0,12.96,7.71,771.43,0.03,25,0.13,42.86,100,0.5,1,2,7,0.13,12,13,7,9,16,85.71,6,N
506,3,3,4,4,4,2,0.4,2,2,2,1,7,1,0,1,0,14.04,2,56.15,0.01,10,0.5,3.12,28.07,0.5,1,2,7,0.18,3,7,3,4,11,88.89,5,N
507,11,1,16,30,20,6,0.29,10,2,2,0.33,23,1,0,5,0,16.79,21,7403.19,0.12,75,0.05,411.29,352.53,0.17,5,10,19,0.11,36,39,12,14,53,90.2,21,N
508,3,0,5,4,4,2,0.29,2,2,1,0.5,7,1,0,2,0,11.34,9.8,1089.11,0.04,31,0.1,60.51,111.13,0.5,1,2,7,0.15,14,17,5,7,13,81.82,7,N
509,7,3,9,43,12,4,0.33,6,2,2,0.5,15,1,0,3,0,16.8,8.33,1166.67,0.05,35,0.12,64.81,140,0.25,3,6,13,0.07,10,25,6,10,57,94.55,12,N
510,11,4,14,32,18,6,0.32,8,2.25,4,0.67,22,4,0,5,0,23.81,12.12,3494.58,0.1,60,0.08,194.14,288.44,0.67,5,9,18,0.11,21,39,13,15,53,90.2,19,N
511,9,0,11,14,16,5,0.42,8,2,1,0.2,18,1,0,1,0,12.69,14.4,2631.64,0.06,48,0.07,146.2,182.75,0.2,4,8,15,0.18,16,32,5,9,28,96.15,12,N
512,7,0,9,17,12,4,0.36,6,2,1,0.25,14,1,0,2,0,15.85,10,1584.57,0.05,38,0.1,88.03,158.46,0.25,3,6,12,0.13,16,22,8,10,30,92.86,11,N
513,9,0,6,17,14,5,0.56,6,2.33,1,0.2,14,1,0,3,1,10.89,19.5,4141.72,0.07,50,0.05,230.1,212.4,0.2,4,7,11,0.18,18,32,6,13,28,88.46,9,N
514,3,0,6,3,4,2,0.29,2,2,1,0.5,6,1,0,1,1,14.27,4.67,310.84,0.02,18,0.21,17.27,66.61,0.5,1,2,6,0.17,8,10,6,7,12,90,7,N
515,7,5,14,34,12,4,0.22,6,2,4,1,18,1,0,4,0,37.53,5.79,1256.26,0.07,48,0.17,69.79,217.13,0.25,3,6,16,0.07,18,30,14,9,54,92.31,18,N
516,3,1,5,4,4,2,0.29,2,2,2,1,6,1,0,2,1,14.76,4.5,298.97,0.02,20,0.22,16.61,66.44,0.5,1,2,6,0.15,6,14,4,6,13,81.82,7,N
517,3,2,5,4,4,2,0.29,2,2,2,1,7,1,0,2,1,18.26,3.6,236.63,0.02,19,0.28,13.15,65.73,0.5,1,2,7,0.15,6,13,5,6,13,81.82,7,N
518,10,5,26,45,6,7,0.23,2,3,7,1,23,3,0,4,0,31.56,14.5,6636.44,0.15,86,0.07,368.69,457.69,0.43,2,3,18,0.09,29,57,20,20,77,94.67,30,N
519,5,21,26,100,8,3,0.1,4,2,3,1,29,1,0,3,0,119.94,3.62,1572.37,0.14,84,0.28,87.35,434.27,0.33,2,4,28,0.02,30,54,29,7,131,97.67,29,N
520,5,8,25,47,8,3,0.11,4,2,2,0.67,18,1,0,3,0,33.63,18,10897.35,0.2,119,0.06,605.41,605.41,0.33,2,4,17,0.04,36,83,17,17,77,96,28,N
521,5,14,35,67,8,3,0.08,4,2,2,0.67,26,1,0,3,0,54.07,19.38,20319.16,0.35,192,0.05,1128.84,1048.21,0.33,2,4,25,0.03,56,136,26,18,107,97.14,38,N
522,5,17,47,73,8,3,0.06,4,2,2,0.67,29,1,0,3,0,75.17,22.63,38501.99,0.57,297,0.04,2139,1701.19,0.33,2,4,28,0.02,81,216,34,19,125,97.56,50,N
523,5,20,54,100,8,3,0.05,4,2,2,0.67,35,1,0,3,0,85.35,18.7,29847.5,0.53,280,0.05,1658.19,1596.12,0.33,2,4,34,0.02,77,203,35,17,159,98.09,57,N
524,7,29,61,67,12,4,0.06,6,2,2,0.5,43,1,0,4,0,95.01,22.3,47232.5,0.71,348,0.04,2624.03,2118.44,0.25,3,6,41,0.03,115,233,49,19,134,96.97,65,N
525,12,1,31,66,12,8,0.22,6,2,1,0.13,26,1,0,6,0,24.77,35.05,30423.07,0.29,159,0.03,1690.17,868.05,0.13,3,6,20,0.08,64,95,21,23,105,94.17,37,N
526,5,3,11,67,8,3,0.2,4,2,3,1,12,1,0,4,0,27.63,6.87,1306.18,0.06,42,0.15,72.57,189.99,0.33,2,4,11,0.04,15,27,12,11,84,95.12,15,N
527,3,0,8,0,4,2,0.2,2,2,1,0.5,8,1,0,2,1,16.23,9.56,1485.28,0.05,38,0.1,82.52,155.32,0.5,1,2,8,0.14,17,21,8,9,14,80,10,N
528,3,1,4,0,4,2,0.4,2,2,2,1,8,1,0,1,1,15.33,11.67,2086.15,0.06,39,0.09,115.9,178.81,0.5,1,2,8,0.22,14,25,9,15,9,80,5,N
529,15,1,17,2,28,8,0.44,14,2,8,1,51,1,0,1,1,12.26,65.83,53124.43,0.27,176,0.02,2951.36,806.95,0.13,7,14,45,0.33,79,97,9,15,24,95,18,N
530,10,9,33,4,8,6,0.15,4,2,6,1,24,4,0,6,0,33.05,17.59,10229.12,0.19,102,0.06,568.28,581.44,0.67,2,4,20,0.13,38,64,27,25,45,86.05,39,N
531,3,1,5,0,4,2,0.29,2,2,1,0.5,6,1,0,2,0,9.6,6.13,360.21,0.02,17,0.16,20.01,58.81,0.5,1,2,6,0.22,7,10,4,7,9,71.43,7,N
532,7,0,32,6,12,4,0.12,6,2,1,0.25,20,1,0,2,1,84.08,18.38,28389.73,0.52,283,0.05,1577.21,1545.02,0.25,3,6,18,0.1,98,185,32,12,42,95,34,N
533,5,3,11,4,8,3,0.25,4,2,1,0.33,15,1,0,1,0,25.96,8.17,1731.33,0.07,53,0.12,96.19,212,0.33,2,4,14,0.17,21,32,9,7,18,93.75,12,N
